Medicines,Drugs
Acefyl Cough  syrup,Acefylline
Ascard ,Aspirin 
Atarax ,Hydroxyzine
Arinac ,Ibuprofen 
Amoxil Drops ,Amoxicillin 
Acefyl wet Cough ,Acefylline
Algaphan ,Dextropropoxyphene 
Alkacitron ,Sodium Acid Citrate 
Artedoxin-P ,Artesunate 
Aria ,Ketotifen 
Asfen ,Ketotifen 
Asperfin ,Ketotifen 
Asthotifen ,Ketotifen 
Acetopril ,Captopril 
Aldactazide ,Spironolactone 
Anamol ,Paracetamol 
Avorek ,Diclofenac potassium 
Artilide ,Nimesulide 
Aslow-,Aspirin 
Angised ,Glyceryl Trinitrate 
Avil  syrup,Pheniramine Maleate
Actim  ,Bisoprolol Fumarate 
Amplus ,Ampicillin and Cloxacillin 
Ardfenac Ardfenac tablet,Diclofenac Sodium 
Ardfenac ,Diclofenac Sodium 
Ardi ,Diclofenac Sodium 
Arthonil ,Diclofenac Sodium 
Axflam ,Diclofenac Sodium 
Axifen ,Diclofenac Sodium 
Arcox ,Etoricoxib 
Atcopram ,Escitalopram
Adaxit ,Glucosamine sulphate 
Acti-joint ,Glucosamine sulphate 
Arthicare ,Glucosamine sulphate 
Arthroflex Max ,Glucosamine sulphate 
Aksofen ,Ibuprofen 
Ambrofen ,Ibuprofen 
Artijesic ,Ibuprofen 
Arufen ,Ibuprofen 
Azofin ,Ibuprofen 
Ariva ,Leflunomide 
Aponip ,Meloxicam 
Artex ,Meloxicam 
Articam ,Meloxicam 
Al-Napro ,Naproxen 
Alidase ,Naproxen 
Anaprox ,Naproxen 
Aprogesic ,Naproxen 
Aprolex ,Naproxen 
Arthrox ,Naproxen 
Artic ,Naproxen 
Athroxen ,Naproxen 
Amsolide ,Nimesulide 
Analid ,Nimesulide 
Aksocam ,Piroxicam 
Anarom ,Piroxicam 
Arcam ,Piroxicam 
Albocam ,Piroxicam-beta-cyclodextrin 
Antixin ,Piroxicam-beta-cyclodextrin 
Afloxan ,Proglumetacin 
ACT-HIB ,Haemophilus influenza Type B 
Agrippal S,Influenza Vaccine 
Amvax-B ,Hepatitis B Vaccine 
Avaxim ,Hepatitis A Vaccine 
Azafrine ,Azathioprine
Amtas ,Amlodipine 
Albumin Human ,Albumin 
Anvol  ,Nebivolol HCl 
Airflo ,Montelukast 
Axal ,Alprazolam 
Avor ,Lorazepam 
Accutane ,Isotretinoin Topical 
Acnewin  capsule,Isotretinoin Topical
Actifed-P Cold  tablet cold,Paracetamol
Analphene  tablet,Dextropropoxyphene
Analin ,Nalbuphine 
Ashtec ,Nalbuphine 
Astadol ,Tramadol 
Angiocard SR ,Glyceryl Trinitrate 
Amparcet ,Paracetamol 
Axamol ,Paracetamol 
Amole Plus ,Paracetamol 
Apecirin ,Paracetamol 
Ascamol ,Paracetamol 
Aspirin ,Paracetamol 
Arbev ,Doxycycline 
Acnewin ,Isotretinoin Oral 
Aminophylline ,Aminophylline 
Amphiline ,Aminophylline 
Asmolin ,Aminophylline 
Aeromax ,Montelukast 
Airex ,Montelukast 
Airvent ,Montelukast 
Albokast ,Montelukast 
Alerkast ,Montelukast 
Allerkast ,Montelukast 
Alukast ,Montelukast 
Amacure ,Montelukast 
Asfree ,Montelukast 
Asmakast ,Montelukast 
Asmax ,Montelukast 
Astel ,Montelukast 
Awakast ,Montelukast 
Aerolin ,Salbutamol 
Astamol ,Salbutamol 
Asthamol ,Salbutamol 
Asmanyl ,Terbutaline Inj/Oral 
Asthalin ,Theophylline Oral 
Adipen ,Nifedipine 
Anifed Tab Retard  tablet,Nifedipine
Adalat CC Tab ,Nifedipine 
Adora Tablet  tablet,Calcium Supplement
Alprazolam ,Alprazolam
AfterBiotic ,Bifidobacterium Lactis 
Adriblastina ,Doxorubicin 
Amoxi-Clav          ,Co-amoxiclav 
Artelac Nighttime ,"Carbomer, Medium chain triglycerides "
Artelac Advanced ,Hyaluronic Acid 
Antine ,Ebastine 
Avastin   ,Bevacizumab 
Artem  ,Artemether 
Actrapid HM Penfill ,Insulin Regular 
Adalat Retard  tablet,Nifedipine
Alp ,Alprazolam 
Alcaine  drops,Proparacaine
Ativan ,Lorazepam 
Azolam ,Alprazolam
Arthrotec ,Diclofenac Sodium 
Avamys  spray,Fluticasone
Amoxi- Clav ,Co-amoxiclav 
Alzilo ,Rasagiline 
Ativan  ,Lorazepam
Arcalion ,Sulbutiamine 
Aksopressor ,Metoprolol 
Atelor ,Atenolol 
ATN ,Atenolol 
Atril ,Atenolol 
Amarit ,Glimepiride 
Amarit Plus ,Glimepiride 
Aknal ,Nalbuphine 
Acugesic ,Tramadol 
Adolan Sr ,Tramadol 
Adolan ,Tramadol 
Abocain ,Bupivacaine 
Anacaine ,Lignocaine 
Abaglin ,Gabapentin 
Abapen ,Gabapentin 
Aropen ,Gabapentin 
Albotram ,Levetiracetam 
Abalin ,Pregabalin. 
Amtec ,Topiramate 
Apimate ,Topiramate 
Awapram ,Topiramate 
Acneklin ,Clindamycin 
Acnemycin ,Clindamycin 
Atramed ,Atracurium Besylate 
Atrelax ,Atracurium Besylate 
Acetor ,Orphenadrine 
Angesic ,Orphenadrine 
Arcozid ,Tizanidine 
Arilax ,Suxamethonium 
Angiotan ,Valsartan 
Amlortan ,Valsartan 
Atasart ,Candesartan Cilexetil 
AHT ,Irbesartan 
AHT DIU ,Irbesartan 
Aceartin ,Losartan Potassium 
Angilock ,Losartan Potassium 
Anhibit ,Losartan Potassium 
Anhibit Plus ,Losartan Potassium 
Artazide ,Losartan Potassium 
Adronate ,Alendronate 
Albonate ,Alendronate 
Alendrate ,Alendronate 
Alendroflex ,Alendronate 
Alendroflex D ,Alendronate 
Aminomux ,Pamidronate Disodium 
Aredia ,Pamidronate Disodium 
Actonel ,Risedronate Sodium 
Azebone ,Risedronate Sodium 
Aclasta ,Zoledronic Acid 
Asterotide ,Octreotide Acetate 
Alkacitron  powder,Sodium Acid Citrate
Aldopa ,Methyldopa 
Azopik ,Azithromycin 
Azores ,Azithromycin 
Azorox ,Azithromycin 
Azotag ,Azithromycin 
Azotine ,Azithromycin 
Azour ,Azithromycin 
Azowin ,Azithromycin 
Azoxin ,Azithromycin 
Azrocin ,Azithromycin 
Azrowin ,Azithromycin 
Aztrix ,Azithromycin 
Azure ,Azithromycin 
Azza ,Azithromycin 
Alercid ,Clarithromycin 
Amiclar ,Clarithromycin 
Apro ,Clarithromycin 
Apticlar ,Clarithromycin 
Arithro ,Clarithromycin 
Arket ,Clarithromycin 
Awaclor ,Clarithromycin 
Anthracin ,Epirubicin 
Aropotin ,Epoetin Alfa 
Acifre ,Esomeperazole 
Aciloc ,Esomeperazole 
Actif ,Esomeperazole 
Albomep ,Esomeperazole 
Anvil Off ,Esomeperazole 
Artek ,Esomeperazole 
Avinza ,Esomeperazole 
Awa-Block ,Esomeperazole 
Aksotran Ds ,Trimethoprim 
Albrotran ,Trimethoprim 
Amtril ,Trimethoprim 
Amtril Ds ,Trimethoprim 
Atroxylate ,Diphenoxylate 
Act-On ,Domperidone 
Al-Pridone ,Domperidone 
Almedon ,Domperidone 
Ambrilium ,Domperidone 
Appdom ,Domperidone 
Ardilium ,Domperidone 
Acneclin ,Clindamycin 
Austaclin-T ,Clindamycin 
Amo-Clav ,Amoxicillin 
Augmentin ,Amoxicillin 
Amtran ,Trimethoprim 
Atrotil ,Diphenoxylate 
Avifix ,Domperidone 
Amoxilite Plus ,Amoxicillin 
Augmiclave ,Amoxicillin 
Aloret ,Desloratadine 
Aerius ,Ebastine 
Adine ,Fexofenadine 
Afex ,Fexofenadine 
Alerfex ,Fexofenadine 
Allerfedin ,Fexofenadine 
Allergia ,Fexofenadine 
Allergofex ,Fexofenadine 
Alofast ,Fexofenadine 
Alzera ,Fexofenadine 
Aspen ,Fexofenadine 
Axodine ,Fexofenadine 
Atoxan ,Oxatomide 
Afrovil ,Pheniramine Maleate 
Alergifen ,Pheniramine Maleate 
Amrovil ,Pheniramine Maleate 
Ann-Vil ,Pheniramine Maleate 
Avedex ,Pheniramine Maleate 
Avilon ,Pheniramine Maleate 
Amoquine ,Amodiaquine 
Antimal ,Artemether 
Armizol ,Artemether 
Arteblax ,Artemether 
Arteg ,Artemether 
Artemax ,Artemether 
Artimet ,Artemether 
Artinex ,Artemether 
Artiwin ,Artemether 
A-Mal ,Artemether 
Akilum ,Artemether 
Alar ,Artemether 
Altamal ,Artemether 
Alumax ,Artemether 
Amalar ,Artemether 
Antamol ,Artemether 
Antimal Plus ,Artemether 
Armizol Ds ,Artemether 
Arteblax L ,Artemether 
Artecap ,Artemether 
Artedan Ds ,Artemether 
Artefrost ,Artemether 
Artemax Ds ,Artemether 
Artemax Plus ,Artemether 
Artemef ,Artemether 
Artemef Ds ,Artemether 
Artemef DS ,Artemether 
Artemet ,Artemether 
Artemex L Ds ,Artemether 
Artemose Extra ,Artemether 
Artemose Forte ,Artemether 
Artemose ,Artemether 
Artepearl ,Artemether 
Arther Forte ,Artemether 
Arther ,Artemether 
Arther Ds ,Artemether 
Arti ,Artemether 
Arti Ds ,Artemether 
Arti Forte ,Artemether 
Artequine ,Dihydroartemisinin 
Aspirin ,Aspirin 
Acasia ,Azithromycin 
Acim ,Azithromycin 
Akzith ,Azithromycin 
Albocin ,Azithromycin 
Alide ,Azithromycin 
Aptimac ,Azithromycin 
Austa-Z ,Azithromycin 
Axalina ,Azithromycin 
Azal ,Azithromycin 
Azaltic ,Azithromycin 
Azelide ,Azithromycin 
Azibac ,Azithromycin 
Azicap ,Azithromycin 
Azidose ,Azithromycin 
Azigood ,Azithromycin 
Azilite ,Azithromycin 
Azimik ,Azithromycin 
Azimycin ,Azithromycin 
Aziotic ,Azithromycin 
Azirol ,Azithromycin 
Azirom ,Azithromycin 
Aziromycin ,Azithromycin 
Azisia ,Azithromycin 
Azit ,Azithromycin 
Azitab ,Azithromycin 
Azitek ,Azithromycin 
Azitral ,Azithromycin 
Azixun ,Azithromycin 
Azizen ,Azithromycin 
Azizox ,Azithromycin 
Azo ,Azithromycin 
Azobit ,Azithromycin 
Azobrain ,Azithromycin 
Azocure ,Azithromycin 
Azoheim ,Azithromycin 
Azolib ,Azithromycin 
Azom ,Azithromycin 
Azomexin ,Azithromycin 
Azomin ,Azithromycin 
Azomycin ,Azithromycin 
Acisor ,Acitretin 
Acitrelex ,Acitretin 
Acne Pearl Tropical ,Adapalene 
Aroleen ,Adapalene 
Adefo ,Adefovir Dipivoxil 
Adeowin ,Adefovir Dipivoxil 
Adgen ,Adefovir Dipivoxil 
Adrowin ,Adefovir Dipivoxil 
Aika ,Amikacin 
Amicin ,Amikacin 
Amifate ,Amikacin 
Amikamed ,Amikacin 
Amikaneu ,Amikacin 
Amikarex ,Amikacin 
Amikaye ,Amikacin 
Aminocin ,Amikacin 
Amiwise ,Amikacin 
Amizin ,Amikacin 
Amkeen ,Amikacin 
Anfotericina FADA ,Amphotericin B 
Alergo ,Cetirizine 
Allermine ,Chlorpheniramine 
Anferon ,Interferon Alfa-2b. 
Accure ,Isotretinoin Topical 
Acnewin ,Isotretinoin Topical 
Acno ,Isotretinoin Topical 
Acnoren ,Isotretinoin Topical 
Aknefin ,Isotretinoin Topical 
Atcon ,Itraconazole 
Auspogen ,Filgrastim 
A-Flox ,Flucloxacillin 
Alfumet ,Fluconazole 
Anaf ,Flurbiprofen 
Ambrodic ,Fusidic Acid 
Amfic ,Fusidic Acid 
Asmofen ,Ketotifen 
Aculac ,Lactulose 
Al-Culose ,Lactulose 
Alogen ,Lactulose 
Accion ,Lansoprazole 
Aksoton ,Lansoprazole 
Alberta ,Lansoprazole 
Allest ,Lansoprazole 
Anso ,Lansoprazole 
Anzole ,Lansoprazole 
Arcozol ,Lansoprazole 
Aksolox ,Levofloxacin 
Alboflox ,Levofloxacin 
Aligant ,Levofloxacin 
Alixin ,Levofloxacin 
Alovic ,Levofloxacin 
Anlev ,Levofloxacin 
Anton ,Levofloxacin 
Awarax ,Levofloxacin 
Axolox ,Levofloxacin 
Alfalor ,Loratadine 
Allorat ,Loratadine 
Alor ,Loratadine 
Armer ,Artemether 
Androcur ,Cyproterone acetate 
Abdol ,Omeprazole 
Acezole ,Omeprazole 
Alpazol ,Omeprazole 
Amop ,Omeprazole 
Anmol ,Omeprazole 
Anzatax ,Paclitaxel 
Acelar ,Enalapril Maleate 
Aksopril ,Fosinopril Sodium 
Accupril ,Quinapril 
Adytum ,Ramipril 
Aquasin ,Furosemide 
Atridol ,Diphenoxylate and Atropine 
Atrolate ,Diphenoxylate and Atropine 
Ardizol ,"Furazolidone, Oral "
Apcom ,Aspirin 
A-Pnamic ,Mefenamic Acid 
Amic ,Mefenamic Acid 
Amnic ,Mefenamic Acid 
Anapen Forte ,Mefenamic Acid 
Amadol Extra ,Paracetamol 
Amidol Extra ,Paracetamol 
Amsipol ,Paracetamol 
Aridol ,Paracetamol 
Aspirin Compd ,Paracetamol 
Amtalidin ,Propyphenazone 
Advil ,Paracetamol 
Amadol ,Paracetamol 
Amole ,Paracetamol 
Anapyrin ,Paracetamol 
Asmacaine ,Paracetamol 
Ab-clor ,Cefaclor 
Acef ,Cefaclor 
Aclor ,Cefaclor 
Ag-clor ,Cefaclor 
Ambiclor ,Cefaclor 
Ambit ,Cefaclor 
Aveclor ,Cefaclor 
Abidox ,Cefadroxil 
Actacef ,Cefadroxil 
Adoxil ,Cefadroxil 
Ag-drox ,Cefadroxil 
Albadrox ,Cefadroxil 
avexil ,Cefadroxil 
Afipime ,Cefepime 
Aqpine ,Cefepime 
Arpim ,Cefepime 
Avepime ,Cefepime 
Axepime ,Cefepime 
Abifix ,Cefixime 
Aerocef DS,Cefixime 
Afixim ,Cefixime 
Ag-fix ,Cefixime 
Agrofix ,Cefixime 
Aksoxime ,Cefixime 
Aksoxime DS,Cefixime 
Akurate ,Cefixime 
Akurate DS,Cefixime 
Albrocef ,Cefixime 
Amber ,Cefixime 
Arco-fix ,Cefixime 
Avecol ,Cefixime 
Aricef ,Cefoperazone 
Actum ,Cefoperazone 
Avesulzone ,Cefoperazone 
Adwotex ,Cefotaxime 
Afran ,Cefotaxime 
Albaxim ,Cefotaxime 
Algixim ,Cefotaxime 
Avetek ,Cefotaxime 
Awabrod ,Cefotaxime 
Averom ,Cefpirome 
Apodox ,Cefpodoxime 
Avedoxime ,Cefpodoxime 
Avetaz ,Ceftazidime 
Agrocef ,Ceftriaxone 
Albaxon ,Ceftriaxone 
Alexon ,Ceftriaxone 
Antrix ,Ceftriaxone 
Arizon ,Ceftriaxone 
Armasure ,Ceftriaxone 
Arophin ,Ceftriaxone 
Avetron ,Ceftriaxone 
Awatrox ,Ceftriaxone 
Al-Oxime ,Cefuroxime 
Apotex ,Cefuroxime 
Avefro ,Cefuroxime 
Abirex ,Cephalexin 
Ag-Cin ,Cephalexin 
Al-Zolin ,Cephazolin 
Abidine ,Cephradine 
Ada Cef ,Cephradine 
Aficef ,Cephradine 
Ag-Ceph ,Cephradine 
Aksosef ,Cephradine 
Alosef ,Cephradine 
Anasef ,Cephradine 
Antimic ,Cephradine 
Avadine ,Cephradine 
Acenim ,Aceclofenac 
Artiflex ,Celecoxib 
Artrodar ,Diacerein 
Anti-Pain ,Diclofenac potassium 
Ardi-K ,Diclofenac potassium 
Ariflam ,Diclofenac potassium 
Artinil-K ,Diclofenac potassium 
A-fenac Plus ,Diclofenac sodium 
Articure ,Diclofenac sodium 
Aerotec ,Diclofenac Sodium and Misoprostol 
Artisaf ,Diclofenac Sodium and Misoprostol 
Accred ,Diclofenac Sodium 
Alfafenac ,Diclofenac Sodium 
Anaren ,Diclofenac Sodium 
Angised ,Glyceryl
Ascard ,Aspirin
Adicos Syrup  syrup,Co-careldopa
Acefyl Syrup (respiratory Treatment) ,Acefylline
Atenblock ,Atenolol 
Atenolol ,Atenolol 
Atromin ,Atenolol 
Ateno-Heart ,Atenolol 
Atenocard ,Atenolol 
ATL ,Atenolol 
Atomin ,Atenolol 
Aptizid ,Gliclazide 
Ardiphage ,Metformin 
Azanid ,Tizanidine 
Allopure ,Allopurinol 
Acid Citro ,Sodium Acid Citrate 
Acitra ,Sodium Acid Citrate 
Albacit ,Sodium Acid Citrate 
Alkaseptic ,Sodium Acid Citrate 
Amural ,Sodium Acid Citrate 
Anatrate ,Sodium Acid Citrate 
Aksotran ,Trimethoprim 
Amibazol ,Diloxanide Furoate 
Amizole ,Diloxanide Furoate 
Amlanic ,Amoxicillin 
Amlanic Ds ,Amoxicillin 
Amoxazol ,Trimethoprim 
Ascotran ,Trimethoprim 
Anizol ,Diloxanide Furoate 
Algetin ,Clemastine 
Alenor ,Desloratadine 
A-GLC ,Ebastine 
Abro ,Ebastine 
Aptahist ,Ebastine 
Alergino ,Fexofenadine 
Alegocit ,Levocetirizine 
Allerno ,Levocetirizine 
Avinol ,Pheniramine Maleate 
Actidil ,Triprolidine 
Alufa ,Artemether 
Antifocine ,Sulfadoxine 
Antimala ,Sulfadoxine 
Angipro ,Aspirin 
Apiscot ,Aspirin 
ASA ,Aspirin 
Aspisafe ,Acetylsalicylic Acid 
Aspiwan ,Aspirin 
Atropine ,Atropine 
Artropisole ,Atropine 
Az-Ko ,Azithromycin 
Azinic ,Azithromycin 
Azwin ,Azithromycin 
Alba ,Albendazole 
Albagen ,Albendazole 
Alben ,Albendazole 
Albendazole Tablet ,Albendazole 
Albendix ,Albendazole 
Albendo ,Albendazole 
Albendol ,Albendazole 
Albenza ,Albendazole 
Alfoz ,Albendazole 
Aliz ,Albendazole 
Almed ,Albendazole 
Alovac ,Albendazole 
Agout ,Allopurinol 
Amikaran ,Amikacin 
Aksozine ,Cetirizine 
Alce ,Cetirizine 
Alcit ,Cetirizine 
Alegra ,Cetirizine 
Alerid ,Cetirizine 
Alerwise ,Cetirizine 
Algezen ,Cetirizine 
Allergid ,Cetirizine 
Allerzin ,Cetirizine 
Allos ,Cetirizine 
Amzine ,Cetirizine 
Arex ,Cetirizine 
Arozine ,Cetirizine 
Askogix ,Cetirizine 
Astemine ,Cetirizine 
Avec ,Cetirizine 
Allergex ,Chlorpheniramine 
Allergon ,Chlorpheniramine 
Allergycare ,Chlorpheniramine 
Allerphene ,Chlorpheniramine 
Apiton ,Chlorpheniramine 
Aminogent ,Gentamicin 
Abdopain ,Hyoscine 
Acnotin ,Isotretinoin Topical 
Anorcid ,Flurbiprofen 
Askosaid ,Flurbiprofen 
Aktofen ,Ketotifen 
Antifen ,Ketotifen 
Asmarax ,Ketotifen 
Asthacure ,Ketotifen 
Asthanil ,Ketotifen 
Abrotin ,Loratadine 
Adin ,Loratadine 
Alerd ,Loratadine 
Alerfree ,Loratadine 
Alersap ,Loratadine 
Algac ,Loratadine 
Algecare ,Loratadine 
Aloran ,Loratadine 
Alten ,Loratadine 
Ambozial ,Loratadine 
Axalor ,Loratadine 
Atamal ,Artemether 
Artiblax L ,Artemether 
Anthex ,Mebendazole 
Apaurin ,Diazepam 
Apolex ,Captopril 
Aptil ,Captopril 
Amotac ,Enalapril Maleate 
Arutox ,Attapulgite 
Akso-D ,Bismuth Subsalicylate 
ORS,"sodium chloride, sodium citrate, potassium chlorid "
Acepol ,Paracetamol 
Acetofin ,Paracetamol 
Alfur ,Cefuroxime 
Azene ,Fluoxetine
